beta1;beta2;beta_inf;firstdigit;seconddigit;pitch;sigma;AoA;Re;Cl;Cd
77.73000001;70.45570255;74.90512978;2;3;24.18558654;0.394948974;0.082482905;567423.4614;0.490619753;0.013984325
65.90000001;64.01843413;64.99228866;5;3;24.18558654;0.394948974;0.082482905;567423.4614;0.347772317;0.011695034
65.90000001;67.32262067;66.63173006;2;5;24.18558654;0.394948974;0.082482905;567423.4614;-0.151821558;0.014821499
39.27;39.39323123;39.33166991;5;5;24.18558654;0.394948974;0.082482905;567423.4614;-0.018291634;0.0169687
39.27;36.59263294;37.95570175;2;3;50.81441346;0.394948974;0.082482905;567423.4614;0.273839907;0.009892257
77.73000001;70.90974247;75.04457331;5;3;50.81441346;0.394948974;0.082482905;567423.4614;0.478793586;0.01524438
77.73000001;69.8545759;74.7261687;2;5;50.81441346;0.394948974;0.082482905;567423.4614;0.497437207;0.018974256
51.1;43.84864402;47.72514672;5;5;50.81441346;0.394948974;0.082482905;567423.4614;0.814163244;0.022901126
65.90000001;64.85060362;65.38578557;2;3;24.18558654;1.105051026;0.082482905;567423.4614;0.040307337;0.017975022
39.27;39.09677764;39.18349554;5;3;24.18558654;1.105051026;0.082482905;567423.4614;-0.005192225;0.017314177
65.90000001;65.08301398;65.49789532;2;5;24.18558654;1.105051026;0.082482905;567423.4614;0.142579018;0.014608867
51.1;43.96528509;47.77593897;5;5;24.18558654;1.105051026;0.082482905;567423.4614;0.802993322;0.022676494
39.27;35.97401129;37.6585586;2;3;50.81441346;1.105051026;0.082482905;567423.4614;0.112204498;0.019669099
65.90000001;67.22967207;66.58263477;5;3;50.81441346;1.105051026;0.082482905;567423.4614;-0.142056075;0.015092656
65.90000001;65.13477003;65.52299627;2;5;50.81441346;1.105051026;0.082482905;567423.4614;0.138359038;0.011106818
51.1;38.36680385;45.44006732;5;5;50.81441346;1.105051026;0.082482905;567423.4614;0.440526395;0.016091991
51.1;42.93262531;47.32967195;2;3;24.18558654;0.394948974;11.9175171;567423.4614;0.898955393;0.024697119
51.1;37.72784695;45.18529513;5;3;24.18558654;0.394948974;11.9175171;567423.4614;0.459561661;0.017030886
39.27;36.15868131;37.74701907;2;5;24.18558654;0.394948974;11.9175171;567423.4614;0.320851215;0.016351201
65.90000001;65.39514685;65.65003051;5;5;24.18558654;0.394948974;11.9175171;567423.4614;0.040085089;0.015647773
39.27;36.45097959;37.88745588;2;3;50.81441346;0.394948974;11.9175171;567423.4614;0.095263025;0.018215178
77.73000001;74.51219239;76.30404068;5;3;50.81441346;0.394948974;11.9175171;567423.4614;0.855771207;0.028564792
39.27;38.27481183;38.77587719;2;5;50.81441346;0.394948974;11.9175171;567423.4614;0.101249674;0.015014866
51.1;40.30451619;46.22647566;5;5;50.81441346;0.394948974;11.9175171;567423.4614;0.391815775;0.014433958
51.1;40.63491591;46.36275292;2;3;24.18558654;1.105051026;11.9175171;567423.4614;0.38257043;0.014720401
39.27;36.64522347;37.9810703;5;3;24.18558654;1.105051026;11.9175171;567423.4614;0.267933972;0.014170466
39.27;38.25200353;38.7646325;2;5;24.18558654;1.105051026;11.9175171;567423.4614;0.104343333;0.011087967
65.90000001;64.18907295;65.07198724;5;5;24.18558654;1.105051026;11.9175171;567423.4614;0.309181617;0.015540968
65.90000001;64.20534567;65.07961384;2;3;50.81441346;1.105051026;11.9175171;567423.4614;0.315069136;0.011647471
77.73000001;70.07569154;74.79126791;5;3;50.81441346;1.105051026;11.9175171;567423.4614;0.47995355;0.020629949
77.73000001;74.03325518;76.1188614;2;5;50.81441346;1.105051026;11.9175171;567423.4614;0.932370684;0.035266547
51.1;42.51461084;47.15116089;5;5;50.81441346;1.105051026;11.9175171;567423.4614;0.93732758;0.025169854
77.73000001;74.42870048;76.27131607;2;3;24.18558654;0.394948974;0.082482905;1632576.539;0.886027045;0.026378774
65.90000001;64.77567754;65.34985239;5;3;24.18558654;0.394948974;0.082482905;1632576.539;0.045357993;0.018336251
65.90000001;64.01145108;64.98903782;2;5;24.18558654;0.394948974;0.082482905;1632576.539;0.342557409;0.015846613
39.27;38.10613861;38.69280277;5;5;24.18558654;0.394948974;0.082482905;1632576.539;0.119980207;0.015067857
65.90000001;65.08377703;65.49826503;2;3;50.81441346;0.394948974;0.082482905;1632576.539;0.149267827;0.011129485
77.73000001;74.19094306;76.17915743;5;3;50.81441346;0.394948974;0.082482905;1632576.539;0.877353618;0.040033207
39.27;38.05887322;38.66955804;2;5;50.81441346;0.394948974;0.082482905;1632576.539;0.12704541;0.011257573
58.49999998;52.23912734;55.61770479;5;5;50.81441346;0.394948974;0.082482905;1632576.539;0.422248737;0.013637531
77.73000001;74.42396203;76.26946452;2;3;24.18558654;1.105051026;0.082482905;1632576.539;0.914317378;0.01878961
51.1;41.72079924;46.8154177;5;3;24.18558654;1.105051026;0.082482905;1632576.539;1.01113014;0.018043046
39.27;39.21438334;39.24220269;2;5;24.18558654;1.105051026;0.082482905;1632576.539;-0.008578156;0.013641626
