AoA,CL,CD,camber,camber_loc,thickness,Re
-2.0,-0.1551,0.01968,1,1,06,50000
0.0,0.0572,0.01435,1,1,06,50000
2.0,0.2316,0.01576,1,1,06,50000
4.0,0.5433,0.01971,1,1,06,50000
6.0,0.7355,0.03059,1,1,06,50000
8.0,0.8369,0.06656,1,1,06,50000
10.0,0.8039,0.13138,1,1,06,50000
12.0,0.8135,0.16774,1,1,06,50000
14.0,0.8105,0.19195,1,1,06,50000
16.0,0.8824,0.2404,1,1,06,50000
-2.0,-0.1546,0.01686,1,1,06,100000
0.0,0.0577,0.01031,1,1,06,100000
2.0,0.3037,0.01144,1,1,06,100000
4.0,0.5342,0.01502,1,1,06,100000
6.0,0.7295,0.02045,1,1,06,100000
8.0,0.8737,0.04786,1,1,06,100000
10.0,0.7944,0.10885,1,1,06,100000
12.0,0.8052,0.15684,1,1,06,100000
14.0,0.8313,0.19376,1,1,06,100000
16.0,0.8491,0.21697,1,1,06,100000
-2.0,-0.1539,0.01306,1,1,06,250000
0.0,0.0584,0.00678,1,1,06,250000
2.0,0.3419,0.007,1,1,06,250000
4.0,0.533,0.01108,1,1,06,250000
6.0,0.7353,0.0157,1,1,06,250000
8.0,0.8974,0.03639,1,1,06,250000
10.0,0.8066,0.10459,1,1,06,250000
12.0,0.8024,0.14248,1,1,06,250000
14.0,0.4417,0.09804,1,1,06,250000
16.0,0.4934,0.12973,1,1,06,250000
-2.0,-0.1233,0.00745,1,1,06,1000000
0.0,0.0954,0.00393,1,1,06,1000000
2.0,0.3263,0.00569,1,1,06,1000000
4.0,0.5378,0.00746,1,1,06,1000000
6.0,0.7484,0.01013,1,1,06,1000000
8.0,0.9328,0.02068,1,1,06,1000000
10.0,1.0833,0.03255,1,1,06,1000000
12.0,0.8356,0.12905,1,1,06,1000000
14.0,0.8281,0.17423,1,1,06,1000000
16.0,0.8589,0.21252,1,1,06,1000000
-2.0,-0.1068,0.02699,2,1,06,50000
0.0,0.1096,0.01855,2,1,06,50000
2.0,0.3001,0.01765,2,1,06,50000
4.0,0.6245,0.0227,2,1,06,50000
6.0,0.8313,0.03415,2,1,06,50000
8.0,0.9593,0.06151,2,1,06,50000
10.0,0.8136,0.12087,2,1,06,50000
12.0,0.8771,0.15715,2,1,06,50000
14.0,0.8587,0.18742,2,1,06,50000
16.0,0.9134,0.2291,2,1,06,50000
-2.0,-0.1154,0.02356,2,1,06,100000
0.0,0.1071,0.0162,2,1,06,100000
2.0,0.4299,0.01115,2,1,06,100000
4.0,0.6161,0.01734,2,1,06,100000
6.0,0.8271,0.02413,2,1,06,100000
8.0,1.0175,0.02341,2,1,06,100000
10.0,1.0963,0.0496,2,1,06,100000
