Re,FD,SD,TFD
50000,1,1,06
100000,1,1,06
250000,1,1,06
1000000,1,1,06
50000,2,1,06
100000,2,1,06
250000,2,1,06
1000000,2,1,06
50000,3,1,06
100000,3,1,06
250000,3,1,06
1000000,3,1,06
50000,4,1,06
100000,4,1,06
250000,4,1,06
1000000,4,1,06
50000,1,2,06
100000,1,2,06
250000,1,2,06
1000000,1,2,06
50000,2,2,06
100000,2,2,06
250000,2,2,06
1000000,2,2,06
50000,3,2,06
100000,3,2,06
250000,3,2,06
1000000,3,2,06
50000,4,2,06
100000,4,2,06
250000,4,2,06
1000000,4,2,06
50000,1,3,06
100000,1,3,06
250000,1,3,06
1000000,1,3,06
50000,2,3,06
100000,2,3,06
250000,2,3,06
1000000,2,3,06
50000,3,3,06
100000,3,3,06
250000,3,3,06
1000000,3,3,06
50000,4,3,06
100000,4,3,06
250000,4,3,06
1000000,4,3,06
50000,1,4,06
100000,1,4,06
250000,1,4,06
1000000,1,4,06
50000,2,4,06
100000,2,4,06
250000,2,4,06
1000000,2,4,06
50000,3,4,06
100000,3,4,06
250000,3,4,06
1000000,3,4,06
50000,4,4,06
100000,4,4,06
250000,4,4,06
1000000,4,4,06
50000,1,1,08
100000,1,1,08
250000,1,1,08
1000000,1,1,08
50000,2,1,08
100000,2,1,08
250000,2,1,08
1000000,2,1,08
50000,3,1,08
100000,3,1,08
250000,3,1,08
1000000,3,1,08
50000,4,1,08
100000,4,1,08
250000,4,1,08
1000000,4,1,08
50000,1,2,08
100000,1,2,08
250000,1,2,08
1000000,1,2,08
50000,2,2,08
100000,2,2,08
250000,2,2,08
1000000,2,2,08
50000,3,2,08
100000,3,2,08
250000,3,2,08
1000000,3,2,08
50000,4,2,08
100000,4,2,08
250000,4,2,08
1000000,4,2,08
50000,1,3,08
100000,1,3,08
250000,1,3,08
1000000,1,3,08
50000,2,3,08
100000,2,3,08
250000,2,3,08
1000000,2,3,08
50000,3,3,08
100000,3,3,08
250000,3,3,08
1000000,3,3,08
50000,4,3,08
100000,4,3,08
250000,4,3,08
1000000,4,3,08
50000,1,4,08
100000,1,4,08
250000,1,4,08
1000000,1,4,08
50000,2,4,08
100000,2,4,08
250000,2,4,08
1000000,2,4,08
50000,3,4,08
100000,3,4,08
250000,3,4,08
1000000,3,4,08
50000,4,4,08
100000,4,4,08
250000,4,4,08
1000000,4,4,08
50000,1,1,10
100000,1,1,10
250000,1,1,10
1000000,1,1,10
50000,2,1,10
100000,2,1,10
250000,2,1,10
1000000,2,1,10
50000,3,1,10
100000,3,1,10
250000,3,1,10
1000000,3,1,10
50000,4,1,10
100000,4,1,10
250000,4,1,10
1000000,4,1,10
50000,1,2,10
100000,1,2,10
250000,1,2,10
1000000,1,2,10
50000,2,2,10
100000,2,2,10
250000,2,2,10
1000000,2,2,10
50000,3,2,10
100000,3,2,10
250000,3,2,10
1000000,3,2,10
50000,4,2,10
100000,4,2,10
250000,4,2,10
1000000,4,2,10
50000,1,3,10
100000,1,3,10
250000,1,3,10
1000000,1,3,10
50000,2,3,10
100000,2,3,10
250000,2,3,10
1000000,2,3,10
50000,3,3,10
100000,3,3,10
250000,3,3,10
1000000,3,3,10
50000,4,3,10
100000,4,3,10
250000,4,3,10
1000000,4,3,10
50000,1,4,10
100000,1,4,10
250000,1,4,10
1000000,1,4,10
50000,2,4,10
100000,2,4,10
250000,2,4,10
1000000,2,4,10
50000,3,4,10
100000,3,4,10
250000,3,4,10
1000000,3,4,10
50000,4,4,10
100000,4,4,10
250000,4,4,10
1000000,4,4,10
50000,1,1,12
100000,1,1,12
250000,1,1,12
1000000,1,1,12
50000,2,1,12
100000,2,1,12
250000,2,1,12
1000000,2,1,12
50000,3,1,12
100000,3,1,12
250000,3,1,12
1000000,3,1,12
50000,4,1,12
100000,4,1,12
250000,4,1,12
1000000,4,1,12
50000,1,2,12
100000,1,2,12
250000,1,2,12
1000000,1,2,12
50000,2,2,12
100000,2,2,12
250000,2,2,12
1000000,2,2,12
50000,3,2,12
100000,3,2,12
250000,3,2,12
1000000,3,2,12
50000,4,2,12
100000,4,2,12
250000,4,2,12
1000000,4,2,12
50000,1,3,12
100000,1,3,12
250000,1,3,12
1000000,1,3,12
50000,2,3,12
100000,2,3,12
250000,2,3,12
1000000,2,3,12
50000,3,3,12
100000,3,3,12
250000,3,3,12
1000000,3,3,12
50000,4,3,12
100000,4,3,12
250000,4,3,12
1000000,4,3,12
50000,1,4,12
100000,1,4,12
250000,1,4,12
1000000,1,4,12
50000,2,4,12
100000,2,4,12
250000,2,4,12
1000000,2,4,12
50000,3,4,12
100000,3,4,12
250000,3,4,12
1000000,3,4,12
50000,4,4,12
100000,4,4,12
250000,4,4,12
1000000,4,4,12
